"species","full_name","sex","tail","tarsus","wing","nares_to_tip","gape","mass"
"wrsh","white-rumped shama","f",97,26.3,82,10.2,13.1,28
"rble","red-billed leiothrix","u",57,23,69,7.6,10.2,26
"rble","red-billed leiothrix","u",56,23.9,67,8.4,9.4,20
"rble","red-billed leiothrix","u",54,22.8,68,8.2,10.2,20
"rble","red-billed leiothrix","u",59,24.2,69,7.2,9.7,21
"rble","red-billed leiothrix","u",52,24.8,67,7.4,9,23
"rble","red-billed leiothrix","u",52,24.2,68,8.2,10.7,21
"rble","red-billed leiothrix","u",57,24.3,66,7.2,8.9,22
"rble","red-billed leiothrix","u",56,23.9,70,8.2,10.8,22
"rble","red-billed leiothrix","u",60,24.1,68,7.3,9.8,22
"jawe","Japanese white-eye","u",43,17.6,60,8,8.8,11
"jawe","Japanese white-eye","u",40,18,60,7.5,8.2,9
"jawe","Japanese white-eye","u",40,17,59,7.9,7.7,10
"jawe","Japanese white-eye","u",NA,18.4,60,7.3,7.5,10
"wrsh","white-rumped shama","m",143,27.6,92,11.5,13.9,33
"rble","red-billed leiothrix","u",52,26.4,65,7,10.3,22
"rble","red-billed leiothrix","u",51,25.1,65,7,8.2,21
"rble","red-billed leiothrix","u",55,23.8,68,6.9,8.4,21
"rvbu","red-vented bulbul","u",84,23.7,90,9.9,13,38
"jawe","Japanese white-eye","u",37,17.8,59,8.1,8.2,10
"jawe","Japanese white-eye","u",42,17.6,60,7.9,7,10
