genus_species,family,group,growth_form,leafsize_cm2,latitude,longitude,elevation_m,MAT,MAP,PPTgs,RADann
Castanea dentata,Fagaceae,angio,Tree,124,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Celtis occidentalis,Cannabaceae,angio,Tree,34.8,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Cornus amomum,Cornaceae,angio,Shrub,5.7,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Cornus florida,Cornaceae,angio,Tree,39.6,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Fagus grandifolia,Fagaceae,angio,Tree,30.4,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Fraxinus americana,Oleaceae,angio,Tree,26,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Hamamelis virginiana,Hamamelidaceae,angio,Shrub,43.7,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Hydrangea arborescens,Hydrangeaceae,angio,Shrub,43.2,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Ilex verticillata,Aquifoliaceae,angio,Shrub,28.8,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Kalmia latifolia,Ericaceae,angio,Tree,14.4,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Lindera benzoin,Lauraceae,angio,Shrub,15.6,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Liriodendron tulipifera,Magnoliaceae,angio,Tree,35.8,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Nyssa sylvatica,Nyssaceae,angio,Tree,35.9,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Parthenocissus quinquefolia,Vitaceae,angio,Liana,27.2,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Platanus occidentalis,Platanaceae,angio,Tree,166.6,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Populus grandidentata,Salicaceae,angio,Tree,59.2,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Prunus serotina,Rosaceae,angio,Tree,16.1,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Quercus alba,Fagaceae,angio,Tree,59.5,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Quercus coccinea,Fagaceae,angio,Shrub,45.2,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Quercus michauxii,Fagaceae,angio,Tree,44.8,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Quercus rubra,Fagaceae,angio,Tree,90.8,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Quercus velutina,Fagaceae,angio,Tree,277.6,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Rhododendron periclymenoides,Ericaceae,angio,Shrub,6.8,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Rhus typhina,Anacardiaceae,angio,Tree,16.5,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Robinia pseudoacacia,Fabaceae,angio,Tree,15,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Rubus allegheniensis,Rosaceae,angio,Shrub,7.4,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Rubus idaeus,Rosaceae,angio,Shrub,16.3,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Rubus sp577,Rosaceae,angio,Shrub,9.5,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Salix eriocephala,Salicaceae,angio,Shrub,8.7,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Salix nigra,Salicaceae,angio,Tree,5.2,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Sambucus canadensis,Adoxaceae,angio,Shrub,6.5,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Sassafras albidum,Lauraceae,angio,Tree,28.2,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Smilax rotundifolia,Smilacaceae,angio,Liana,64.8,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Tilia americana,Malvaceae,angio,Tree,168.5,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Vaccinium corymbosum,Ericaceae,angio,Shrub,6.7,39.920,-76.750,119,11.90,1030.00,802.00,188.77
